organization-id;device-id;time-base-schedule-number;time-base-schedule-month;time-base-schedule-day;time-base-schedule-date;time-base-schedule-day-plan;day-plan-hour;day-plan-minute;date;time;offset;holiday-table;tod-flags;meter-action
Caltrans;12010;1;8190;124;4294967294;63;5;30;20191024;090858;-0700;"";;trafficResponsive
Caltrans;12010;2;8190;254;4294967294;80;9;30;20191024;090858;-0700;"";;dark
Caltrans;12010;3;8190;124;4294967294;191;15;0;20191024;090858;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;12010;4;8190;254;4294967294;208;19;0;20191024;090858;-0700;"";PM_responsive_tables;dark
Caltrans;12012;1;8190;124;4294967294;191;14;0;20191024;090858;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;12012;2;8190;254;4294967294;208;19;0;20191024;090858;-0700;"";PM_responsive_tables;dark
Caltrans;18111;1;8190;124;4294967294;63;5;30;20191024;090858;-0700;"";;trafficResponsive
Caltrans;18111;2;8190;254;4294967294;80;9;30;20191024;090858;-0700;"";;dark
Caltrans;12013;1;8190;124;4294967294;191;14;0;20191024;090858;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;12013;2;8190;254;4294967294;208;19;0;20191024;090858;-0700;"";PM_responsive_tables;dark
Caltrans;295;1;8190;124;4294967294;191;15;0;20191024;090857;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;295;2;8190;254;4294967294;208;19;0;20191024;090857;-0700;"";PM_responsive_tables;dark
Caltrans;10703;1;8190;124;4294967294;63;5;30;20191024;090857;-0700;"";;trafficResponsive
Caltrans;10703;2;8190;254;4294967294;80;9;30;20191024;090857;-0700;"";;dark
Caltrans;10704;1;8190;124;4294967294;63;5;30;20191024;090857;-0700;"";;trafficResponsive
Caltrans;10704;2;8190;254;4294967294;80;9;30;20191024;090857;-0700;"";;dark
Caltrans;10701;1;8190;124;4294967294;181;15;0;20191024;090857;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;10701;2;8190;254;4294967294;208;19;0;20191024;090857;-0700;"";PM_responsive_tables;dark
Caltrans;10702;1;8190;124;4294967294;63;5;30;20191024;090857;-0700;"";;trafficResponsive
Caltrans;10702;2;8190;254;4294967294;80;9;30;20191024;090857;-0700;"";;dark
Caltrans;10707;1;8190;124;4294967294;63;5;30;20191024;090857;-0700;"";;trafficResponsive
Caltrans;10707;2;8190;254;4294967294;80;9;30;20191024;090857;-0700;"";;dark
Caltrans;10801;1;8190;124;4294967294;63;5;30;20191024;090858;-0700;"";;trafficResponsive
Caltrans;10801;2;8190;254;4294967294;80;9;30;20191024;090858;-0700;"";;dark
Caltrans;16803;1;8190;124;4294967294;191;15;0;20191024;090858;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;16803;2;8190;254;4294967294;208;19;0;20191024;090858;-0700;"";PM_responsive_tables;dark
Caltrans;109;1;8190;124;4294967294;97;5;30;20191024;090857;-0700;"";;fixedRate
Caltrans;109;2;8190;124;4294967294;101;6;30;20191024;090857;-0700;"";;fixedRate
Caltrans;109;3;8190;124;4294967294;111;7;30;20191024;090857;-0700;"";;fixedRate
Caltrans;109;4;8190;124;4294967294;97;10;0;20191024;090857;-0700;"";;fixedRate
Caltrans;109;5;8190;254;4294967294;80;11;0;20191024;090857;-0700;"";;dark
Caltrans;109;6;8190;124;4294967294;233;14;0;20191024;090857;-0700;"";PM_responsive_tables;fixedRate
Caltrans;109;7;8190;124;4294967294;228;16;0;20191024;090857;-0700;"";PM_responsive_tables;fixedRate
Caltrans;109;8;8190;124;4294967294;225;17;0;20191024;090857;-0700;"";PM_responsive_tables;fixedRate
Caltrans;109;9;8190;124;4294967294;225;18;0;20191024;090857;-0700;"";PM_responsive_tables;fixedRate
Caltrans;109;10;8190;254;4294967294;208;19;0;20191024;090857;-0700;"";PM_responsive_tables;dark
Caltrans;107;1;8190;124;4294967294;63;5;30;20191024;090857;-0700;"";;trafficResponsive
Caltrans;107;2;8190;254;4294967294;80;11;0;20191024;090857;-0700;"";;dark
Caltrans;107;3;8190;124;4294967294;191;14;0;20191024;090857;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;107;4;8190;254;4294967294;208;19;0;20191024;090857;-0700;"";PM_responsive_tables;dark
Caltrans;104;1;8190;124;4294967294;63;5;30;20191024;090857;-0700;"";;trafficResponsive
Caltrans;104;2;8190;254;4294967294;80;9;30;20191024;090857;-0700;"";;dark
Caltrans;100;1;8190;124;4294967294;63;5;30;20191024;090857;-0700;"";;trafficResponsive
Caltrans;100;2;8190;254;4294967294;80;9;30;20191024;090857;-0700;"";;dark
Caltrans;11308;1;8190;124;4294967294;191;15;0;20191024;090858;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;11308;2;8190;254;4294967294;208;19;0;20191024;090858;-0700;"";PM_responsive_tables;dark
Caltrans;11405;1;8190;124;4294967294;63;5;30;20191024;090858;-0700;"";;trafficResponsive
