orgId;deviceId;meterPlanId;meterRate;AMaxRate;AtableIniMeasure;AtableDelta;PMaxRate;PtableIniMeasure;PtableDelta;iniVolume;deltaVolume;startupThreshold;shutdownThreshold;v1selDuration
Caltrans;12010;a;0;15;7.6;0.3;15;7.9;0.21;1450;25;1400;1150;1
Caltrans;12010;p;0;15;7.6;0.3;15;7.9;0.21;1433;33;1250;1150;1
Caltrans;12012;a;0;0;0;0;15;9.5;0.28;0;0;0;0;1
Caltrans;12012;p;0;0;0;0;15;9.5;0.28;0;0;0;0;1
Caltrans;18111;a;0;15;6;0.22;0;0;0;1800;29;1750;1200;1
Caltrans;18111;p;0;15;6;0.22;0;0;0;0;0;0;0;1
Caltrans;12013;a;0;0;0;0;15;8.3;0.3;0;0;0;0;1
Caltrans;12013;p;0;0;0;0;15;8.3;0.3;1550;32;1500;1350;1
Caltrans;295;a;0;0;0;0;15;8;0.28;0;0;0;0;1
Caltrans;295;p;0;0;0;0;15;8;0.28;1300;36;1280;1100;1
Caltrans;10703;a;0;15;9.5;0.16;0;0;0;1300;21;1250;1000;1
Caltrans;10703;p;0;15;9.5;0.16;0;0;0;0;0;0;0;1
Caltrans;10704;a;0;15;8.3;0.26;0;0;0;1600;35;1550;1150;1
Caltrans;10704;p;0;15;8.3;0.26;0;0;0;0;0;0;0;1
Caltrans;10701;a;0;0;0;0;14;8.1;0.15;0;0;0;0;1
Caltrans;10701;p;0;0;0;0;14;8.1;0.15;1600;29;1300;1100;1
Caltrans;10702;a;0;15;9.5;0.3;0;0;0;1456;35;1400;1000;1
Caltrans;10702;p;0;15;9.5;0.3;0;0;0;0;0;0;0;1
Caltrans;10707;a;0;15;8.3;0.07;0;0;0;1550;35;1550;1100;1
Caltrans;10707;p;0;15;8.3;0.07;0;0;0;0;0;0;0;1
Caltrans;10801;a;0;15;9.5;0.24;0;0;0;1650;18;1600;1200;1
Caltrans;10801;p;0;15;9.5;0.24;0;0;0;0;0;0;0;1
Caltrans;16803;a;0;0;0;0;15;8;0.28;0;0;0;0;1
Caltrans;16803;p;0;0;0;0;15;8;0.28;1300;36;1280;1100;1
Caltrans;109;a;0;15;8.3;0.3;15;8.3;0.3;1700;20;1650;1350;1
Caltrans;109;p;0;15;8.3;0.3;15;8.3;0.3;1450;27;1400;1200;1
