deviceId;status;operationalMode;mainlineFlow;currentPlanId;currentRate;carsPerLane
RMIS.12010;on;dark;510;0;0;2
RMIS.14510;on;dark;455;0;0;1
RMIS.12012;on;dark;0;0;0;2
RMIS.18111;on;dark;432;0;0;2
RMIS.12013;on;dark;594;0;0;2
RMIS.12801;on;dark;560;0;0;1
RMIS.12802;on;dark;480;0;0;1
RMIS.295;on;dark;336;0;0;2
RMIS.10703;on;dark;458;0;0;1
RMIS.10704;on;dark;532;0;0;2
RMIS.14010;on;dark;3211264;0;0;1
RMIS.10701;on;dark;295;0;0;1
RMIS.12805;on;dark;520;0;0;1
RMIS.10702;on;dark;347;0;0;1
RMIS.12806;on;dark;452;0;0;1
RMIS.10707;on;dark;390;0;0;2
RMIS.12808;on;dark;508;0;0;1
RMIS.12809;on;dark;388;0;0;1
RMIS.10706;on;dark;545;0;0;1
RMIS.10801;on;dark;635;0;0;1
RMIS.16803;on;dark;277;0;0;2
RMIS.16801;on;dark;322;0;0;0
RMIS.109;on;dark;1060;0;0;2
RMIS.107;on;dark;3866624;0;0;2
RMIS.104;on;dark;0;0;0;1
RMIS.100;on;dark;607;0;0;1
RMIS.11308;on;dark;192;0;0;2
RMIS.11405;on;dark;605;0;0;2
RMIS.11406;on;dark;394;0;0;2
RMIS.10305;on;dark;245;0;0;2
RMIS.111;on;dark;515;0;0;2
RMIS.10301;on;dark;535;0;0;1
RMIS.11807;on;dark;510;0;0;1
RMIS.11401;on;dark;340;0;0;2
RMIS.11404;on;dark;348;0;0;2
RMIS.110;on;dark;540;0;0;1
RMIS.11003;on;dark;428;0;0;2
RMIS.11004;on;dark;315;0;0;2
RMIS.11007;on;dark;615;0;0;2
RMIS.11008;on;dark;250;0;0;1
RMIS.11005;on;dark;580;0;0;1
RMIS.11006;on;dark;242;0;0;2
RMIS.11810;on;dark;513;0;0;2
RMIS.11411;on;dark;585;0;0;2
RMIS.11410;on;dark;450;0;0;2
RMIS.122;on;dark;0;0;0;1
RMIS.123;on;dark;310;0;0;2
RMIS.128;on;dark;242;0;0;1
RMIS.126;on;dark;315;0;0;2
RMIS.127;on;dark;210;0;0;2
RMIS.10811;on;dark;610;0;0;1
RMIS.14009;on;dark;236;0;0;0
RMIS.14008;on;dark;263;0;0;1
RMIS.11312;on;dark;572;0;0;2
RMIS.15901;on;dark;574;0;0;1
RMIS.14004;on;dark;143;0;0;2
RMIS.904;on;dark;3276800;0;0;0
RMIS.130;on;dark;657;0;0;1
RMIS.132;on;dark;6553600;0;0;2
RMIS.131;on;dark;3866624;0;0;1
RMIS.324;on;dark;322;0;0;2
RMIS.14601;on;dark;380;0;0;1
RMIS.320;on;dark;390;0;0;2
RMIS.10512;on;dark;240;0;0;2
RMIS.319;on;dark;210;0;0;1
RMIS.10411;on;dark;394;0;0;1
RMIS.91;on;dark;550;0;0;2
RMIS.16213;on;dark;900;0;0;2
RMIS.16210;on;dark;417;0;0;2
RMIS.404;on;Dark;387;0;0;0
RMIS.11705;on;dark;324;0;0;1
RMIS.402;on;dark;455;0;0;2
RMIS.13206;on;dark;0;0;0;1
RMIS.11706;on;dark;155;0;0;1
RMIS.207;on;dark;650;0;0;1
RMIS.10403;on;dark;276;0;0;2
RMIS.13209;on;dark;745;0;0;1
RMIS.205;on;dark;290;0;0;2
RMIS.11901;on;dark;490;0;0;2
RMIS.11902;on;dark;498;0;0;2
RMIS.203;on;dark;420;0;0;2
RMIS.10407;on;dark;277;0;0;1
RMIS.11903;on;dark;3866624;0;0;1
RMIS.204;on;dark;400;0;0;2
RMIS.10110;on;dark;552;0;0;1
RMIS.11904;on;dark;505;0;0;2
RMIS.201;on;dark;226;0;0;2
RMIS.152;on;dark;423;0;0;2
RMIS.10409;on;dark;472;0;0;2
RMIS.11905;on;dark;506;0;0;2
RMIS.202;on;dark;373;0;0;2
RMIS.151;on;dark;517;0;0;2
RMIS.10408;on;dark;437;0;0;2
RMIS.11907;on;dark;453;0;0;2
RMIS.200;on;dark;243;0;0;2
RMIS.300;on;dark;360;0;0;1
