deviceId;meterPlanId;meterType (occ or vol),MaxRate;tableIniMeasure;tableDelta;iniVolume;deltaVolume;startupThreshold;shutdownThreshold;v1selDuration
12707;a;0;15;23.11;0.63;1686;57;1686;1350;1
12707;p;0;15;7.33;0.25;1050;50;1050;950;1
12708;a;0;15;8.37;0.17;1829;48;1829;1600;1
12708;p;0;15;8.37;0.17;1829;48;1829;1600;1
12711;a;0;15;20.59;0.83;1247;50;1247;1245;1
12711;p;0;15;20.59;0.83;1247;50;1247;1245;1
12801;a;0;15;8.14;0.33;1419;33;1419;1350;1
12801;p;0;15;7.33;0.25;1050;50;1050;950;1
12802;a;0;15;9.82;0.31;1375;50;1375;1125;1
12802;p;0;15;7.33;0.25;1050;50;1050;950;1
12805;a;0;15;15.46;0.59;1288;46;1288;1150;1
12805;p;0;15;7.33;0.25;1050;50;1050;950;1
12806;a;0;15;19.42;0.35;1393;18;1393;1050;1
12806;p;0;15;7.33;0.25;1050;50;1050;950;1
12808;a;0;15;9.28;0.37;1223;36;1223;800;1
12808;p;0;15;9;0.25;1550;50;1550;1150;1
12809;a;0;15;14.67;0.5;1285;35;1285;900;1
12809;p;0;15;7.33;0.25;1050;50;1050;950;1
14707;a;0;15;14.98;0.45;1150;50;1150;900;1
14707;p;0;15;9;0.25;1550;50;1550;1150;1
14709;a;0;15;16.01;0.43;960;40;960;700;1
14709;p;0;15;7.33;0.25;1050;50;1050;950;1
14803;a;0;15;8;0.25;900;40;900;700;1
14803;p;0;15;9;0.25;1550;50;1550;1150;1
14804;a;0;15;15;0.25;1100;100;1100;800;1
14804;p;0;15;15;0.25;1100;100;1100;800;1
